WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="228", group="280", value="     1"
WARNING (131428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (132404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (132412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (132420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (132428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (133184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (133272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (133280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (133396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (133404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (133412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (133420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (133428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (134184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (134272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (134280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (134396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (134404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (134412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (134420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (134428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (135184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (135272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (135280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (135396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (135404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (135412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (135420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (135428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (136184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136216): XRECORD object group 280 unknown/not supported - ignored.
